Name,Cuisine Style,Ranking,Rating,Price Range,Number of Reviews,Reviews,URL_TA
Klasterni Senk,"['Bar', 'European', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly']",180.0,4.5,$$ - $$$,332.0,"[['So peaceful', 'Awesome food and beers'], ['12/27/2017', '11/18/2017']]",/Restaurant_Review-g274707-d1381273-Reviews-Klasterni_Senk-Prague_Bohemia.html
Kozlovna Lidicka,"['Bar', 'European', 'Gastropub', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly']",181.0,4.5,$$ - $$$,659.0,"[['Feels like real local Czech cuisine and am...', 'Traditional big portion Bohemian meal with...'], ['01/02/2018', '12/24/2017']]",/Restaurant_Review-g274707-d2354970-Reviews-Kozlovna_Lidicka-Prague_Bohemia.html
LEMON LEAF,"['Asian', 'Thai', 'International', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",182.0,4.0,$$ - $$$,986.0,"[['Yum!', 'Stylish lunch in the Prague center'], ['10/05/2017', '10/02/2017']]",/Restaurant_Review-g274707-d781702-Reviews-LEMON_LEAF-Prague_Bohemia.html
Hard Rock Cafe,"['American', 'Bar', 'European', 'Central American', 'Vegetarian Friendly', 'Gluten Free Options']",183.0,4.0,$$ - $$$,4382.0,"[['NYE', 'Good food, not as expensive as mentioned'], ['01/04/2018', '01/04/2018']]",/Restaurant_Review-g274707-d1516182-Reviews-Hard_Rock_Cafe-Prague_Bohemia.html
Como restaurant & cocktail bar,"['Sushi', 'Fusion', 'Czech', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",184.0,4.0,$$ - $$$,1398.0,"[['Good food and good service', 'pretty good'], ['12/29/2017', '12/09/2017']]",/Restaurant_Review-g274707-d1568048-Reviews-Como_restaurant_cocktail_bar-Prague_Bohemia.html
Zebra Asian Noodle Bar,"['Chinese', 'Japanese', 'Sushi', 'Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",185.0,4.0,$$ - $$$,1143.0,"[['Great Adrian cuisine', 'Good values'], ['01/09/2018', '01/05/2018']]",/Restaurant_Review-g274707-d3256408-Reviews-Zebra_Asian_Noodle_Bar-Prague_Bohemia.html
Restaurant U Glaubicu,"['Bar', 'European', 'Pub', 'Czech', 'Eastern European', 'Central European', 'Vegetarian Friendly']",186.0,4.0,$,1302.0,"[['Popular Pub', 'Good Atmosphere'], ['12/30/2017', '12/23/2017']]",/Restaurant_Review-g274707-d1118486-Reviews-Restaurant_U_Glaubicu-Prague_Bohemia.html
George Prime Burger,"['American', 'Bar', 'Contemporary', 'Street Food', 'Vegan Options', 'Vegetarian Friendly']",187.0,4.5,$$ - $$$,94.0,"[['Soooo tasty !!!', 'Great Burgers, Great Staff!'], ['01/04/2018', '01/03/2018']]",/Restaurant_Review-g274707-d12679694-Reviews-George_Prime_Burger-Prague_Bohemia.html
Zebra Express,"['Asian', 'Thai', 'Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",188.0,4.5,$$ - $$$,370.0,"[['Amazing restaurant! Must go!', 'Interesting menu, nice staff, quick servic...'], ['01/02/2018', '12/29/2017']]",/Restaurant_Review-g274707-d6774560-Reviews-Zebra_Express-Prague_Bohemia.html
CottoCrudo,"['Italian', 'Mediterranean', 'European', 'Vegetarian Friendly', 'Gluten Free Options', 'Vegan Options']",189.0,4.5,$$$$,349.0,"[['Excellent food & service', 'Great food!'], ['01/05/2018', '12/29/2017']]",/Restaurant_Review-g274707-d2715259-Reviews-CottoCrudo-Prague_Bohemia.html
